index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
25	融合理工学系	027	准教授	002	筒井	広明	た	つつい	ひろあき	4	Hiroaki	Tsutsui	融合理工学系	027	原子核工学コース	004																									核融合	Nuclear fusion	プラズマ物理	Plasma physics	超伝導磁気エネルギー貯蔵	Superconducting magnetic energy storage	数値解析	Numerical calculation	http://www.nr.titech.ac.jp/~htsutsui/	http://www.nr.titech.ac.jp/~htsutsui/	key_rid=1000015196		ﾂﾂｲ	ﾋﾛｱｷ				
26	融合理工学系	027	助教	004	中瀬	正彦	な	なかせ	まさひこ	3	Masahiko	Nakase	融合理工学系	027	原子核工学コース	004																									原子力化学工学	Nuclear chemical engineering	分離科学	Separation science	抽出器設計開発	Extractor design and development	抽出剤・吸着剤開発	Development of extractant and adsorbent	http://www.lane.iir.titech.ac.jp/~takeshita/index.html	http://www.lane.iir.titech.ac.jp/~takeshita/index-e.html	key_rid=B000300397		ﾅｶｾ	ﾏｻﾋｺ				
27	融合理工学系	027	助教	004	西山	潤	な	にしやま	じゅん	3	Jun 	Nishiyama	融合理工学系	027	原子核工学コース	004																																			key_rid=6000009714		ﾆｼﾔﾏ	ｼﾞｭﾝ				
28	融合理工学系	027	准教授	002	長谷川	純	は	はせがわ	じゅん	2	Jun	Hasegawa	融合理工学系	027	原子核工学コース	004	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																	量子ビーム科学	Quantum beam science	プラズマ科学	Plasma science	ナノ・マイクロ科学	Nano micro science	高エネルギー密度科学	High energy density science	http://www.lane.iir.titech.ac.jp/~jhasegaw/	http://www.lane.iir.titech.ac.jp/~jhasegaw/	key_rid=1000275178		ﾊｾｶﾞﾜ	ｼﾞｭﾝ				
29	融合理工学系	027	教授	001	林﨑	規託	は	はやしざき	のりよす	2	Noriyosu	Hayashizaki	融合理工学系	027	原子核工学コース	004																									加速器物理工学	Accelerator physics and engineering	ビームシミュレーション	Particle beam simulation	ホウ素中性子捕捉療法	Boron neutron capture therapy	放射線セキュリティ	Radioactive material security	http://www.lane.iir.titech.ac.jp/jp/member/data/nhayashi.html	http://www.lane.iir.titech.ac.jp/en/member/data/nhayashi.html	key_t2r2Rid=CTT100381882		ﾊﾔｼｻﾞｷ	ﾉﾘﾖｽ				
	応用化学系	021	准教授	002	原田	琢也	は	はらだ	たくや	2	Takuya	Harada	応用化学系	021	原子核工学コース	004	融合理工学系	027	原子核工学コース	004	応用化学系	021	応用化学コース	021																	無機材料工学	Inorganic materials	化学プロセス工学	Chemical process engineering	CO2回収・再利用	CO2 capture & utilization	低炭素エネルギーシステム	Low-carbon energy system	http://www.lane.iir.titech.ac.jp/~t_harada/index.html	http://www.lane.iir.titech.ac.jp/~t_harada/engtop.html	key_t2r2Rid=CTT100826362		ﾊﾗﾀﾞ	ﾀｸﾔ				
30	融合理工学系	027	特定教授	009	舩坂	英之	は	ふなさか	ひでゆき	2	Hideyuki	Funasaka	融合理工学系	027	原子核工学コース	004																																					ﾌﾅｻｶ	ﾋﾃﾞﾕｷ				
32	融合理工学系	027	准教授	002	松本	義久	ま	まつもと	よしひさ	3	Yoshihisa	Matsumoto	融合理工学系	027	原子核工学コース	004																									放射線生物学	Radiation biology	分子生物学	Molecular biology	基礎医学	Basic medicine			http://www.nr.titech.ac.jp/~yoshim/	http://www.nr.titech.ac.jp/~yoshim/	key_rid=1000255228		ﾏﾂﾓﾄ	ﾖｼﾋｻ				
	材料系	020	助教	004	安井	伸太郎	や	やすい	しんたろう	5	Shintaro	Yasui	材料系	020	原子核工学コース	004	材料系	020	材料コース	020																															key_t2r2Rid=CTT100514587		ﾔｽｲ	ｼﾝﾀﾛｳ				
33	材料系	020	准教授	002	吉田	克己	や	よしだ	かつみ	5	Katsumi	Yoshida	材料系	020	原子核工学コース	004	材料系	020	材料コース	020																					無機材料	Inorganic materials	耐苛酷環境性材料	Severe environment resistant materials	原子力・核融合炉用材料	Materials for nuclear and fusion applications	セラミックス基複合材料	Ceramic-based composites	http://www.nr.titech.ac.jp/jp/member/data/k-yoshida.html	http://www.nr.titech.ac.jp/jp/member/data/k-yoshida.html	key_rid=1000362761		ﾖｼﾀﾞ	ｶﾂﾐ				
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
