index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	材料系	020	准教授	002	熊谷	悠	か	くまがい	ゆう	3	Yu	Kumagai	材料系	020	材料コース	020																									計算材料学	Computational materials science	半導体物性	Semiconductor physics	マテリアルズインフォマティクス	Materials informatics			https://www.cms-mi.msl.titech.ac.jp		key_rid=7000018622		ｸﾏｶﾞｲ	ﾕｳ																																																			
	材料系	020	教授	001	クロス	ジェフリー　S.	か	くろす	じぇふりー すこっと	1	Jeffrey S.	Cross	融合理工学系	027	エネルギーコース	001	材料系	020	材料コース	020	融合理工学系	027	地球環境共創コース	027																	化学工学	Chemical engineering	材料工学	Materials science	AI教育	AI in education	エネルギー政策	Energy policy	https://jscross18.wixsite.com/crosslab	https://jscross18.wixsite.com/crosslab	key_rid=6000012476		ｸﾛｽ	ｼﾞｪﾌﾘｰ ｽｺｯﾄ																																																			
	材料系	020	准教授	002	合田	義弘	か	ごうだ	よしひろ	2	Yoshihiro	Gohda	材料系	020	材料コース	020																									物性理論	Condensed matter theory	計算物質科学	Computational materials science	磁性金属材料	Magnetic metals	ナノ界面	Nano-interfaces	http://www.cms.materia.titech.ac.jp/index.html	http://www.cms.materia.titech.ac.jp/index_en.html	key_t2r2Rid=CTT100669183		ｺﾞｳﾀﾞ	ﾖｼﾋﾛ																																																			
	材料系	020	准教授	002	小林	郁夫	か	こばやし	いくお	3	Equo	Kobayashi	材料系	020	材料コース	020	材料系	020	ライフエンジニアリングコース	003																					非鉄金属材料	Non-ferrous metals	生体材料	Biomedical materials	機能性材料	Functional materials	医療機器の標準化	Standardization of medical devices	http://www.satokobayashi.mtl.titech.ac.jp/	http://www.satokobayashi.mtl.titech.ac.jp/english/	key_rid=1000161696		ｺﾊﾞﾔｼ	ｲｸｵ																																																			
	材料系	020	准教授	002	小林	覚	か	こばやし	さとる	3	Satoru	Kobayashi	材料系	020	材料コース	020																									耐熱合金・耐熱鋼	Heat resistant alloys/Steels	組織制御	Microstructure control	金属間化合物	Intermetallic alloys	鉄鋼材料	Ferrous materials	http://steel.mtl.titech.ac.jp/	http://steel.mtl.titech.ac.jp/english/	key_t2r2Rid=CTT100681878		ｺﾊﾞﾔｼ	ｻﾄﾙ																																																			
	材料系	020	教授	001	小林	能直	か	こばやし	よしなお	3	Yoshinao	Kobayashi	材料系	020	原子核工学コース	004	材料系	020	材料コース	020																					原子力安全金属工学	Safety metallurgy for nuclear reactor	金属製精錬	Metal smelting and refining	金属リサイクル	Metal recycle	鉄冶金	Iron and steel making	http://www.nr.titech.ac.jp/jp/member/data/ykobayashi.html		key_rid=5000002667		ｺﾊﾞﾔｼ	ﾖｼﾅｵ																																																			
	材料系	020	特任助教	008	サー	サントシュ プラサド	さ	さー	さんとしゅ ぷらさど	4	Santosh Prasad	Sah	材料系	020	材料コース	020																																					ｻｰ	ｻﾝﾄｼｭ ﾌﾟﾗｻﾄﾞ																																																			
	材料系	020	准教授	002	相良	剛光	さ	さがら	よしみつ	4	Yoshimitsu	Sagara	材料系	020	材料コース	020																									刺激応答性発光材料	Stimuli-responsive luminescent material	メカノフォア	Mechanophore	超分子材料	Supramolecular material	分子集合体	Molecular assembly	https://ysagara-mechano.wixsite.com/mysite	https://ysagara-mechano.wixsite.com/mysite	key_rid=B000247141		ｻｶﾞﾗ	ﾖｼﾐﾂ																																																			
	材料系	020	准教授	002	笹川	崇男	さ	ささがわ	たかお	4	Takao	Sasagawa	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					無機電子材料	Inorganic electronic material	超伝導	Superconductivity	スピントロニクス	Spintronics	ナノテク新素材	Novel nanomaterial	http://www.msl.titech.ac.jp/~sasagawa/	http://www.msl.titech.ac.jp/~sasagawa/index_e.html	key_rid=5000090807		ｻｻｶﾞﾜ	ﾀｶｵ																																																			
	材料系	020	准教授	002	三宮	工	さ	さんのみや	たくみ	4	Takumi	Sannomiya	材料系	020	材料コース	020	材料系	020	エネルギーコース	001	材料系	020	ライフエンジニアリングコース	003																	透過電子顕微鏡	Transmission electron microscopy	ナノ光学材料	Nanooptical materials	プラズモニクス	Plasmonics	バイオセンサー	Biosensors	http://www.sannomiya.iem.titech.ac.jp/Home.htm	http://www.sannomiya.iem.titech.ac.jp/HomeEn.htm	key_t2r2Rid=CTT100620163		ｻﾝﾉﾐﾔ	ﾀｸﾐ																																																			
