index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
25	土木・環境工学系	026	教授	001	廣瀬	壮一	は	ひろせ	そういち	2	Sohichi	Hirose	土木・環境工学系	026	土木工学コース	026																									応用力学	Applied mechanics	計算力学	Computational mechanics	非破壊検査	Nondestructive testing			http://www.cv.titech.ac.jp/~hiro-lab/	http://www.cv.titech.ac.jp/~hiro-lab/	key_rid=1000275197		ﾋﾛｾ	ｿｳｲﾁ
26	土木・環境工学系	026	特任准教授	006	ブイ	クオック ティン	は	ぶい	くおっく てぃん	1	Quoc Tinh	Bui	土木・環境工学系	026	土木工学コース	026																									計算力学	Computational mechanics	有限要素解析	Finite element analysis	破壊・損傷力学	Fracture and damage mechanics​	固体力学	Solid mechanics	http://www.cv.titech.ac.jp/~hiro-lab/	http://www.cv.titech.ac.jp/~hiro-lab/	key_rid=B000363023		ﾌﾞｲ	ｸｵｯｸ ﾃｨﾝ
27	土木・環境工学系	026	特定教授	009	福田	大輔	は	ふくだ	だいすけ	2	Daisuke	Fukuda	土木・環境工学系	026	土木工学コース	026	土木・環境工学系	026	都市・環境学コース	006																					交通計画	Transportation planning	交通工学	Traffic engineering	交通経済学	Transportation planning	交通行動分析	Travel behavior analysis	http://www.plan.cv.titech.ac.jp/fukudalab/	http://www.plan.cv.titech.ac.jp/fukudalab/en/	key_rid=1000326053		ﾌｸﾀﾞ	ﾀﾞｲｽｹ
28	土木・環境工学系	026	准教授	002	藤井	学	は	ふじい	まなぶ	2	Manabu	Fujii	土木・環境工学系	026	土木工学コース	026																									環境工学	Environmental engineering	水環境	Water environment	水処理	Water and wastewater treatment	持続可能な開発	Sustainable development	https://sites.google.com/site/manabufujiiattit/laboratory	https://sites.google.com/site/manabufujiiattit/home	key_rid=6000014931		ﾌｼﾞｲ	ﾏﾅﾌﾞ
30	土木・環境工学系	026	助教	004	堀越	一輝	は	ほりこし	かずき	2	Kazuki	Horikoshi	土木・環境工学系	026	土木工学コース	026																									地盤工学	Geotechnical Engineering									key_rid=R000007294		ﾎﾘｺｼ	ｶｽﾞｷ
31	土木・環境工学系	026	准教授	002	室町	泰徳	ま	むろまち	やすのり	3	Yasunori	Muromachi	土木・環境工学系	026	都市・環境学コース	006	土木・環境工学系	026	土木工学コース	026	建築学系	025	都市・環境学コース	006																	都市計画	Urban planning	都市交通計画	Urban transportation planning	交通と環境	Transport and the environment			http://www.muromachi.enveng.titech.ac.jp/	http://www.muromachi.enveng.titech.ac.jp/YMUROIDE1303.html	key_rid=5000039836		ﾑﾛﾏﾁ	ﾔｽﾉﾘ
32	土木・環境工学系	026	教授	001	盛川	仁	ま	もりかわ	ひとし	3	Hitoshi	Morikawa	土木・環境工学系	026	都市・環境学コース	006	土木・環境工学系	026	土木工学コース	026	建築学系	025	都市・環境学コース	006																	地震工学	Earthquake engineering	工学地震学	Engineering seismology	確率過程論	Stochastic process	地震防災教育	Education for disaster mitigation	http://quake.enveng.titech.ac.jp/		key_rid=1000182637		ﾓﾘｶﾜ	ﾋﾄｼ
33	土木・環境工学系	026	教授	001	屋井	鉄雄	や	やい	てつお	5	Tetsuo	Yai	土木・環境工学系	026	都市・環境学コース	006	土木・環境工学系	026	土木工学コース	026																					国土/都市計画	Regional and urban planning	環境交通工学	Environmental transport engineering	計画理論	Planning theory			http://www.plan.cv.titech.ac.jp/yailab/	http://www.plan.cv.titech.ac.jp/yailab/index_e.html	key_rid=1000015550		ﾔｲ	ﾃﾂｵ
34	土木・環境工学系	026	准教授	002	吉村	千洋	や	よしむら	ちひろ	5	Chihiro	Yoshimura	土木・環境工学系	026	土木工学コース	026	融合理工学系	027	地球環境共創コース	027																					水域生態系と水環境管理	Aquatic ecosystem and management of water environment	水質のモニタリングとモデル化	Water quality monitoring and modeling	水処理技術	Water treatment technology	グリーンインフラ	Green infrastructure	https://sites.google.com/site/yoshimurachihirojp/	https://sites.google.com/view/yoshimurachihiro02/home	key_rid=5000091205		ﾖｼﾑﾗ	ﾁﾋﾛ
																																																						
