index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	数理・計算科学系	022	准教授	002	中野	張	な	なかの	ゆみはる	3	Yumiharu	Nakano	数理・計算科学系	022	数理・計算科学コース	022	数学系	011	数学コース	011																					制御理論	Control theory	確率過程	Stochastic processes	ファイナンス	Finance					key_rid=6000014353		ﾅｶﾉ	ﾕﾐﾊﾙ		
	数理・計算科学系	022	教授	001	西畑	伸也	な	にしばた	しんや	3	Shinya	Nishibata	数理・計算科学系	022	数理・計算科学コース	022	数学系	011	数学コース	011																					数学	Mathematics	解析学	Analysis	微分方程式論	Theory of differential equations	数理物理	Mathematical physics	http://www.is.c.titech.ac.jp/~shinya/index.html	http://www.is.c.titech.ac.jp/~shinya/index.html	key_rid=1000321723		ﾆｼﾊﾞﾀ	ｼﾝﾔ		
	数理・計算科学系	022	特定准教授	010	西巻	陵	な	にしまき	りょう	3	Ryo	Nishimaki	数理・計算科学系	022	数理・計算科学コース	022																																					ﾆｼﾏｷ	ﾘｮｳ		
	数理・計算科学系	022	助教	004	野村	哲弘	な	のむら	あきひろ	3	Akihiro	Nomura	数理・計算科学系	022	数理・計算科学コース	022																									高性能計算	High performance computing	システムソフトウェア	System software	インターコネクト	Interconnects	ジョブスケジューリング	Job scheduling	http://www.gsic.titech.ac.jp/member/nomura/index.html.ja	http://www.gsic.titech.ac.jp/member/nomura/	key_rid=B000305213		ﾉﾑﾗ	ｱｷﾋﾛ		
	数理・計算科学系	022	准教授	002	福田	光浩	は	ふくだ	みつひろ	2	Mituhiro	Fukuda	数理・計算科学系	022	数理・計算科学コース	022																									連続最適化	Continuous optimization	凸最適化	Convex optimization	錐最適化	Conic optimization	数値最適化	Computational optimization	http://mf.c.titech.ac.jp/mituhiro/index-j.html	http://mf.c.titech.ac.jp/mituhiro/ 	key_rid=1000326049		ﾌｸﾀﾞ	ﾐﾂﾋﾛ		
	数理・計算科学系	022	特定教授	009	福本	佳成	は	ふくもと	よしなり	2	Yoshinari	Fukumoto	数理・計算科学系	022	数理・計算科学コース	022																																					ﾌｸﾓﾄ	ﾖｼﾅﾘ		
	数理・計算科学系	022	教授	001	増原	英彦	ま	ますはら	ひでひこ	3	Hidehiko	Masuhara	数理・計算科学系	022	数理・計算科学コース	022																									プログラミング言語	Programming languages	ソフトウェア開発環境	Software development environment	ソフトウェア科学	Software science			http://prg.is.titech.ac.jp/ja/	http://prg.is.titech.ac.jp/	key_rid=1000367619		ﾏｽﾊﾗ	ﾋﾃﾞﾋｺ		
	経営工学系	019	教授	001	松井	知己	ま	まつい	ともみ	3	Tomomi	Matsui	経営工学系	019	経営工学コース	019	数理・計算科学系	022	数理・計算科学コース	022																					最適化	Optimization	アルゴリズム	Algorithm	組合せ理論	Combinatorics			http://tomomi.my.coocan.jp/index-j.html	http://tomomi.my.coocan.jp/welcomeE.html	key_rid=1000161438		ﾏﾂｲ	ﾄﾓﾐ		
	数理・計算科学系	022	准教授	002	松浦	知史	ま	まつうら	さとし	3	Satoshi	Matsuura	数理・計算科学系	022	数理・計算科学コース	022																																			key_rid=7000018051		ﾏﾂｳﾗ	ｻﾄｼ		
	数理・計算科学系	022	特任教授	005	松岡	聡	ま	まつおか	さとし	3	Satoshi	Matsuoka	数理・計算科学系	022	数理・計算科学コース	022																									並列コンピューティング	Parallel Computing	グリーンコンピューティング	Green Computing	エクストリームビッグデータ	Extreme Big Data	ポストムーア計算	Post Moore Computing	http://matsu-www.is.titech.ac.jp/	http://matsu-www.is.titech.ac.jp/?q=en	key_rid=1000013684		ﾏﾂｵｶ	ｻﾄｼ		
	数理・計算科学系	022	特定准教授	010	松田	隆宏	ま	まつだ	たかひろ	3	Takahiro	Matsuda	数理・計算科学系	022	数理・計算科学コース	022																																					ﾏﾂﾀﾞ	ﾀｶﾋﾛ		
	数理・計算科学系	022	特定教授	009	間宮	正行	ま	まみや	まさゆき	3	Masayuki	Mamiya	数理・計算科学系	022	数理・計算科学コース	022																																			key_t2r2Rid=CTT100711079		ﾏﾐﾔ	ﾏｻﾕｷ		
	数理・計算科学系	022	准教授	002	三浦	英之	ま	みうら	ひでゆき	3	Hideyuki 	Miura	数理・計算科学系	022	数理・計算科学コース	022	数学系	011	数学コース	011																					偏微分方程式論	Theory of partial differential equations									key_t2r2Rid=CTT100661130		ﾐｳﾗ	ﾋﾃﾞﾕｷ		
	数理・計算科学系	022	教授	001	南出	靖彦	ま	みなみで	やすひこ	3	Yasuhiko	Minamide	数理・計算科学系	022	数理・計算科学コース	022																									ソフトウェア検証	Software verification	プログラミング言語	Programming languages	計算モデル	Computation models			http://sv.c.titech.ac.jp/minamide/	http://sv.c.titech.ac.jp/minamide/index.en.html	key_t2r2Rid=CTT100692411		ﾐﾅﾐﾃﾞ	ﾔｽﾋｺ		
	数理・計算科学系	022	教授	001	三好	直人	ま	みよし	なおと	3	Naoto	Miyoshi	数理・計算科学系	022	数理・計算科学コース	022																									応用確率論	Applied probability	情報通信システムのモデル化と解析	Modeling and analysis of information and communication systems	点過程理論	Theory of point processes	待ち行列理論	Queueing theory	http://www.is.c.titech.ac.jp/~is0000_miyoshi/index-j.html	http://www.is.c.titech.ac.jp/~is0000_miyoshi/	key_rid=1000279283		ﾐﾖｼ	ﾅｵﾄ		
	数理・計算科学系	022	准教授	002	室伏	俊明	ま	むろふし	としあき	3	Toshiaki	Murofushi	数理・計算科学系	022	数理・計算科学コース	022	数理・計算科学系	022	知能情報コース	005																					非加法的測度論	Non-additive measure theory	集合関数論	Theory of set functions	形式概念分析	Formal concept analysis	情報視覚化	Information visualization	http://www.fz.dis.titech.ac.jp/~murofusi/index_j.html	http://www.fz.dis.titech.ac.jp/~murofusi/	key_rid=1000017402		ﾑﾛﾌｼ	ﾄｼｱｷ		
	数理・計算科学系	022	助教	004	森	立平	ま	もり	りゅうへい	3	Ryuhei	Mori	数理・計算科学系	022	数理・計算科学コース	022																									量子情報	Quantum information	情報理論	Information theory	理論計算機科学	Theoretical computer science			http://q.c.titech.ac.jp/mori/	http://q.c.titech.ac.jp/mori/	key_rid=B000300113		ﾓﾘ	ﾘｭｳﾍｲ		
	数理・計算科学系	022	助教	004	矢島	萌子	や	やじま	もえこ	5	Moeko	Yajima	数理・計算科学系	022	数理・計算科学コース	022																									応用確率論	Applied probability	待ち行列理論	Queueing theory	オペレーションズ・リサーチ	Operations research			https://sites.google.com/view/moekoyajima-jp/top	https://sites.google.com/view/moekoyajima-en/top	key_t2r2Rid=CTT100622976		ﾔｼﾞﾏ	ﾓｴｺ		
	情報通信系	018	教授	001	山岡	克式	や	やまおか	かつのり	5	Katsunori	Yamaoka	情報通信系	018	情報通信コース	018	数理・計算科学系	022	数理・計算科学コース	022																					情報通信ネットワーク	Information and communication network	インターネット	Internet technology	電話網	Telecommunication network	通信品質制御	QoS and communication quality control	https://www.net.ict.e.titech.ac.jp/index.html	https://www.net.ict.e.titech.ac.jp/index.html	key_rid=1000275191		ﾔﾏｵｶ	ｶﾂﾉﾘ		
