index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
22	生命理工学系	024	准教授	002	長田	俊哉	あ	おさだ	としや	3	Toshiya	Osada	生命理工学系	024	生命理工学コース	024																									嗅覚系	Olfactory system	化学受容	Chemical sense					http://www.bio.titech.ac.jp/laboratory/osada/prof.html	http://www.bio.titech.ac.jp/english/laboratory/osada/index.html	key_rid=1000016027		ｵｻﾀﾞ	ﾄｼﾔ																																																														
23	生命理工学系	024	助教	004	折田	和泉	あ	おりた	いずみ	3	Izumi 	Orita	生命理工学系	024	生命理工学コース	024																																			key_rid=5000060388		ｵﾘﾀ	ｲｽﾞﾐ																																																														
	生命理工学系	024	准教授	002	折原	芳波	あ	おりはら	かなみ	3	Kanami	Orihara	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					免疫学	Immunology	アレルギー疾患	Allergic diseases	感染症	Infectious diseases	体内時計	Circadian rhythm			key_rid=5000092315		ｵﾘﾊﾗ	ｶﾅﾐ																																																														
24	生命理工学系	024	講師	003	梶川	正樹	か	かじかわ	まさき	3	Masaki	Kajikawa	生命理工学系	024	生命理工学コース	024																									転移因子	Transposable element	レトロトランスポゾン	Retrotransposon	ゲノム進化	Genome evolution	エピジェネティクス	Epigenetics			key_rid=5000064987		ｶｼﾞｶﾜ	ﾏｻｷ																																																														
25	生命理工学系	024	助教	004	梶谷	嶺	か	かじたに	れい	3	Rei	Kajitani	生命理工学系	024	生命理工学コース	024																									ゲノム学	Genomics	バイオインフォマティクス	Bioinformatics							key_t2r2Rid=CTT100511108		ｶｼﾞﾀﾆ	ﾚｲ																																																														
	生命理工学系	024	特定教授	009	梶原	将	か	かじわら	すすむ	3	Susumu	Kajiwara	生命理工学系	024	生命理工学コース	024																																			key_t2r2Rid=CTT100380904		ｶｼﾞﾜﾗ	ｽｽﾑ																																																														
27	生命理工学系	024	准教授	002	加藤	明	か	かとう	あきら	3	Akira	Kato	生命理工学系	024	生命理工学コース	024																									電気生理学	Electrophysiology	分子生理学	Molecular physiology	細胞生物学	Cell biology	比較ゲノム	Comparative genomics	http://kato.bio.titech.ac.jp/index.html		key_rid=1000321771		ｶﾄｳ	ｱｷﾗ																																																														
	生命理工学系	024	助教	004	門之園	哲哉	か	かどのその	てつや	3	Tetsuya	Kadonosono	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					タンパク質工学	Protein engineering	バイオ医薬品創薬	Biopharmaceutical drug development	ドラッグデリバリーシステム	Drug delivery system	分子イメージング	Molecular imaging	http://www.kondohlab.bio.titech.ac.jp/	http://www.kondohlab.bio.titech.ac.jp/?lang=en	key_rid=5000060398		ｶﾄﾞﾉｿﾉ	ﾃﾂﾔ																																																														
28	生命理工学系	024	助教	004	金丸	周司	か	かなまる	しゅうじ	3	Shuji	Kanamaru	生命理工学系	024	生命理工学コース	024																									生物物理学	Biophysics	構造生物学	Structural biology	蛋白質科学	Protein science					key_rid=5000065035		ｶﾅﾏﾙ	ｼｭｳｼﾞ																																																														
29	生命理工学系	024	助教	004	金森	功吏	か	かなもり	たかし	3	Takashi	Kanamori	生命理工学系	024	生命理工学コース	024																									生物有機化学	Bioorganic chemistry	光化学	Photochemistry					http://www.yuasa-lab.bio.titech.ac.jp/		key_t2r2Rid=CTT100516778		ｶﾅﾓﾘ	ﾀｶｼ																																																														
