index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
27	材料系	020	教授	001	北本	仁孝	か	きたもと	よしたか	3	Yoshitaka	Kitamoto	材料系	020	ライフエンジニアリングコース	003	材料系	020	材料コース	020																					磁性材料・磁気デバイス	Magnetic materials and devices	バイオ材料・デバイス	Biomaterials and biodevices	ナノ材料・デバイス	Nanomaterials and nanodevices			http://www.kitamoto.iem.titech.ac.jp	http://www.kitamoto.iem.titech.ac.jp	key_rid=1000203906		ｷﾀﾓﾄ	ﾖｼﾀｶ				
28	機械系	015	准教授	002	金	俊完	か	きむ	じゅうんわん	3	Joon-wan	Kim	機械系	015	機械コース	015	機械系	015	ライフエンジニアリングコース	003																					マイクロマシン	MEMS	マイクロポンプ	Micropump	ソフトアクチュエータ	Soft actuator	電界共役流体	Electro-conjugate fluid (ECF)	http://yoshida-www.pi.titech.ac.jp/yoshida_lab/top.html	http://yoshida-www.pi.titech.ac.jp/yoshida_lab/top_e.html	key_rid=6000003433		ｷﾑ	ｼﾞｭｳﾝﾜﾝ				
44	材料系	020	助教	004	倉科	佑太	か	くらしな	ゆうた	3	Yuta	Kurashina	材料系	020	ライフエンジニアリングコース	003																									バイオメディカルデバイス	Biomedical device	マイクロファブリケーション	Micro fabrication	超音波	Ultrasonics	ナノ材料	Nanomaterials			key_rid=B000315689		ｸﾗｼﾅ	ﾕｳﾀ				
30	情報通信系	018	教授	001	小池	康晴	か	こいけ	やすはる	3	Yasuharu	Koike	情報通信系	018	ライフエンジニアリングコース	003	情報通信系	018	情報通信コース	018	機械系	015	ライフエンジニアリングコース	003																	計算論的神経科学	Computational neuroscience	ブレインマシンインタフェース	Brain machine interface	ヒューマンインタフェース	Human interface	筋骨格系モデル	Musculo-skeletal model			key_rid=1000279108		ｺｲｹ	ﾔｽﾊﾙ				
	生命理工学系	024	教授	001	越川	直彦	か	こしかわ	なおひこ	3	Naohiko	Koshikawa	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					細胞外マトリックス	Extracellular matrices (ECMs)	メタロプロテアーゼ	Metalloproteinases	がん	Cancer	バイオマーカー	Biomarkers	http://koshikawalab.bio.titech.ac.jp/	http://koshikawalab.bio.titech.ac.jp/	key_rid=B000306273		ｺｼｶﾜ	ﾅｵﾋｺ				
31	生命理工学系	024	教授	001	小畠	英理	か	こばたけ	えいり	3	Eiry	Kobatake	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					タンパク質工学	Protein engineering	細胞組織工学	Cellular and tissue engineering	バイオマテリアル	Biomaterials	バイオセンシング	Biosensing	http://www.neobio.bio.titech.ac.jp/ja/index.html	http://www.neobio.bio.titech.ac.jp/ja/english/index.html	key_rid=B000249938		ｺﾊﾞﾀｹ	ｴｲﾘ				
32	材料系	020	准教授	002	小林	郁夫	か	こばやし	いくお	3	Equo	Kobayashi	材料系	020	材料コース	020	材料系	020	ライフエンジニアリングコース	003																					非鉄金属材料	Non-ferrous metals	生体材料	Biomedical materials	機能性材料	Functional materials	医療機器の標準化	Standardization of medical devices	http://www.satokobayashi.mtl.titech.ac.jp/	http://www.satokobayashi.mtl.titech.ac.jp/english/	key_rid=1000161696		ｺﾊﾞﾔｼ	ｲｸｵ				
33	生命理工学系	024	助教	004	小林	勇気	か	こばやし	ゆうき	3	Yuki	Kobayashi	生命理工学系	024	ライフエンジニアリングコース	003																									細胞生物学	Cell biology	細胞周期制御	Cell cycle regulation	植物生理学	Plant physiology			http://www.res.titech.ac.jp/~biores/	http://www.res.titech.ac.jp/~biores/E/index_E.html	key_t2r2Rid=CTT100638609		ｺﾊﾞﾔｼ	ﾕｳｷ				
34	生命理工学系	024	教授	001	近藤	科江	か	こんどう	しなえ	3	Shinae	Kondoh	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					がんの生物学	Cancer biology	タンパク質工学	Protein engineering	光イメージング	Optical imaging	創薬研究	Drug development	http://www.kondohlab.bio.titech.ac.jp/	http://www.kondohlab.bio.titech.ac.jp/?lang=en	key_rid=1000287907		ｺﾝﾄﾞｳ	ｼﾅｴ				
	生命理工学系	024	講師	003	近藤	徹	か	こんどう	とおる	3	Toru	Kondo	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					生物物理学	Biophysics	顕微分光学	Microspectroscopy	量子生物学	Quantum biology	生体光物理学	Biophotophysics					ｺﾝﾄﾞｳ	ﾄｵﾙ				
55	材料系	020	准教授	002	三宮	工	さ	さんのみや	たくみ	4	Takumi	Sannomiya	材料系	020	材料コース	020	材料系	020	エネルギーコース	001	材料系	020	ライフエンジニアリングコース	003																	透過電子顕微鏡	Transmission electron microscopy	ナノ光学材料	Nanooptical materials	プラズモニクス	Plasmonics	バイオセンサー	Biosensors	http://www.sannomiya.iem.titech.ac.jp/Home.htm	http://www.sannomiya.iem.titech.ac.jp/HomeEn.htm	key_t2r2Rid=CTT100620163		ｻﾝﾉﾐﾔ	ﾀｸﾐ				
37	情報通信系	018	准教授	002	篠﨑	隆宏	さ	しのざき	たかひろ	4	Takahiro	Shinozaki	情報通信系	018	情報通信コース	018	情報通信系	018	ライフエンジニアリングコース	003																					音声認識	Speech recognition	音声情報処理	Speech signal processing	機械学習	Machine learning					key_rid=6000014357		ｼﾉｻﾞｷ	ﾀｶﾋﾛ				
	生命理工学系	024	助教	004	朱	博	さ	しゅ	はく	5	Bo	Zhu	生命理工学系	024	ライフエンジニアリングコース	003																									蛋白質工学	Protein engineering	高速分子進化工学	In vitro directed evolution	無細胞蛋白質合成	Cell-free protein synthesis			http://www.ueda.res.titech.ac.jp/	http://www.ueda.res.titech.ac.jp/index_en.html	key_rid=7000028029		ｼｭ	ﾊｸ				
38	機械系	015	教授	001	進士	忠彦	さ	しんし	ただひこ	4	Tadahiko	Shinshi	機械系	015	機械コース	015	機械系	015	ライフエンジニアリングコース	003																					マイクロ・ナノメカトロニクス	Micro-nano mechatronics	医用メカトロニクス	Medical mechatronics	精密機械要素	Precision machince devices	磁気浮上	Magnetic levitation	http://www.precisionmechatronics.mech.e.titech.ac.jp/		key_rid=7000018087		ｼﾝｼ	ﾀﾀﾞﾋｺ				
40	生命理工学系	024	准教授	002	清尾	康志	さ	せいお	こうじ	4	Kohji	Seio	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					核酸有機化学	Organic chemistry of nucleic acids	転写制御	Transcription regulation	核酸医薬	Nuleic acid drugs			http://www.skn.bio.titech.ac.jp/		key_rid=1000279115		ｾｲｵ	ｺｳｼﾞ				
41	材料系	020	教授	001	曽根	正人	さ	そね	まさと	4	Masato	Sone	材料系	020	ライフエンジニアリングコース	003	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																											key_t2r2Rid=CTT100381840		ｿﾈ	ﾏｻﾄ				
60	機械系	015	准教授	002	髙山	俊男	た	たかやま	としお	4	Toshio	Takayama	機械系	015	機械コース	015	機械系	015	ライフエンジニアリングコース	003																					機構	Mechanism	医療機器	Medical device	ソフトロボット	Soft robot	マイクロ流体デバイス	Microfluidic device	http://www.takayamalab.mech.e.titech.ac.jp/		key_rid=5000094695		ﾀｶﾔﾏ	ﾄｼｵ				
43	生命理工学系	024	助教	004	武元	宏泰	た	たけもと	ひろやす	4	Hiroyasu	Takemoto	生命理工学系	024	ライフエンジニアリングコース	003																									生体材料学	Biomaterials	高分子化学	Polymer chemistry	材料化学	Materials chemistry			http://www.bmw.res.titech.ac.jp/	http://www.bmw.res.titech.ac.jp/index-e.html	key_t2r2Rid=CTT100653442		ﾀｹﾓﾄ	ﾋﾛﾔｽ				
44	機械系	015	准教授	002	只野	耕太郎	た	ただの	こうたろう	4	Kotaro	Tadano	機械系	015	ライフエンジニアリングコース	003	機械系	015	機械コース	015																					ロボティクス	Robotics	医用システム	Medical systems	人間機械システム	Man-machine systems	空気圧システム	Pneumatics systems	http://www.k-k.pi.titech.ac.jp/	http://www.k-k.pi.titech.ac.jp/	key_rid=5000093859		ﾀﾀﾞﾉ	ｺｳﾀﾛｳ				
	応用化学系	021	教授	001	田中	克典	た	たなか	かつのり	4	Katsunori	Tanaka	応用化学系	021	ライフエンジニアリングコース	003	応用化学系	021	応用化学コース	021																					インビボ合成化学	In vivo synthetic chemistry	天然物化学	Natural products chemistry	有機合成化学	Organic synthesis	糖鎖科学	Glycoscience	http://www.apc.titech.ac.jp/~noritanaka/	http://www.apc.titech.ac.jp/~noritanaka/	key_t2r2Rid=CTT100806791		ﾀﾅｶ	ｶﾂﾉﾘ				
45	生命理工学系	024	教授	001	田中	寛	た	たなか	かん	4	Kan	Tanaka	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					進化細胞遺伝学	Evolutional cell genetics	微生物学	Microbiology	光合成	Photosynthesis	代謝制御	Metabolic regulation	http://www.res.titech.ac.jp/~biores/index.html	http://www.res.titech.ac.jp/~biores/E/index_E.html	key_rid=0000030185		ﾀﾅｶ	ｶﾝ				
	材料系	020	准教授	002	田原	正樹	た	たはら	まさき	4	Masaki	Tahara	材料系	020	材料コース	020	材料系	020	ライフエンジニアリングコース	003																					金属学	Metallurgy	形状記憶合金	Shape momory alloys	チタン合金	Ｔitanium alloys	マルテンサイト変態	Martensitic transformation	http://www.mater.pi.titech.ac.jp/		key_t2r2Rid=CTT100620160		ﾀﾊﾗ	ﾏｻｷ				
46	電気電子系	017	准教授	002	田原	麻梨江	た	たばる	まりえ	4	Marie	Tabaru	電気電子系	017	ライフエンジニアリングコース	003	電気電子系	017	電気電子コース	017	情報通信系	018	情報通信コース	018																	音響工学	Acoustic engineering	計測工学	Measurement engineering	医療超音波	Medical ultrasound	食品科学	Food science	http://tbr.first.iir.titech.ac.jp	http://tbr.first.iir.titech.ac.jp/en/	key_t2r2Rid=CTT100660094		ﾀﾊﾞﾙ	ﾏﾘｴ				
71	材料系	020	助教	004	チャン	ツォーフー 	た	ちゃん	つぉーふー	1	Tso-fu	Chang	材料系	020	ライフエンジニアリングコース	003	材料系	020	材料コース	020																															key_rid=B000301199		ﾁｬﾝ	ﾂｫｰﾌｰ				
74	生命理工学系	024	助教	004	チン	シンユ	た	ちん	しんゆ	1	Xinyue	Chen	生命理工学系	024	ライフエンジニアリングコース	003																									微生物学	Microbiology	分子生物学	Molecular biology					https://skj48-bio-titech.jimdo.com/	https://skj48-bio-titech-eng.jimdo.com/	key_t2r2Rid=CTT100631487		ﾁﾝ	ｼﾝﾕ				
