index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	融合理工学系	027	特任教授	005	田辺	孝二	た	たなべ	こうじ	4	Koji	Tanabe	融合理工学系	027	エンジニアリングデザインコース	002																																			key_rid=5000093259		ﾀﾅﾍﾞ	ｺｳｼﾞ			
	イノベーション科学系・技術経営専門職学位課程	029	教授	001	辻本	将晴	た	つじもと	まさはる	4	Masaharu 	Tsujimoto	技術経営専門職学位課程	030			イノベーション科学系	029	イノベーション科学コース	029	融合理工学系	027	エンジニアリングデザインコース	002																	経営戦略論	Strategic management	経営組織論	Organizational management	エコシステム戦略論	Ecosystem strategy			https://sites.google.com/view/tsujimotolab/	https://sites.google.com/view/tsujimotolabeng/	key_rid=6000019388		ﾂｼﾞﾓﾄ	ﾏｻﾊﾙ			
	機械系	015	准教授	002	中西	洋喜	な	なかにし	ひろき	3	Hiroki	Nakanishi	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																					宇宙工学	Space engineering	ロボティクス	Robotics					http://www.srobot.mech.e.titech.ac.jp/	http://www.srobot.mech.e.titech.ac.jp/index_e.html	key_rid=5000044623		ﾅｶﾆｼ	ﾋﾛｷ			
	イノベーション科学系・技術経営専門職学位課程	029	准教授	002	中丸	麻由子	な	なかまる	まゆこ	3	Mayuko	Nakamaru	技術経営専門職学位課程	030			イノベーション科学系	029	イノベーション科学コース	029	融合理工学系	027	エンジニアリングデザインコース	002																	社会シミュレーション	Social simulation	人間行動進化学	Human behavior and evolution	数理生物学	Mathematical biology	進化ゲーム理論	Evolutionary game theory	http://www.nakamaru-lab.mot.titech.ac.jp	https://sites.google.com/site/mayukonakamarulab/	key_rid=1000305685		ﾅｶﾏﾙ	ﾏﾕｺ			
	機械系	015	教授	001	西田	佳史	な	にしだ	よしふみ	3	Yoshifumi	Nishida	機械系	015	エンジニアリングデザインコース	002	機械系	015	機械コース	015																					生活セントリックデザイン	Living Centric Design	人間情報学	Human Informatics	人工知能	Artificial Intelligence	IoT	IoT			key_rid=5000087632		ﾆｼﾀﾞ	ﾖｼﾌﾐ			
	情報通信系	018	准教授	002	長谷川	晶一	は	はせがわ	しょういち	2	Shoichi	Hasegawa	情報通信系	018	情報通信コース	018	情報通信系	018	エンジニアリングデザインコース	002																					バーチャルリアリティ	Virtual reality	ロボット学	Robotics	力触覚	Haptics	リアルタイムシミュレーション	Realtime simulation	http://haselab.hi.pi.titech.ac.jp/	http://haselab.net/en	key_rid=1000321710		ﾊｾｶﾞﾜ	ｼｮｳｲﾁ			
	融合理工学系	027	教授	001	野原	佳代子	な	のはら	かよこ	3	Kayoko	Nohara	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002	機械系	015	エンジニアリングデザインコース	002																	翻訳学・言語学	Translation studies ・Linguistics	科学技術コミュニケーション	Science communication	デザイン教育	Design education	サイエンス＆アート	Science & art	http://www.tse.ens.titech.ac.jp/~nohara/	http://www.tse.ens.titech.ac.jp/~nohara/en/	key_rid=1000314925		ﾉﾊﾗ	ｶﾖｺ			
	機械系	015	准教授	002	土方	亘	は	ひじかた	わたる	2	Wataru	Hijikata	機械系	015	エンジニアリングデザインコース	002	機械系	015	機械コース	015																					電磁アクチュエータ	Electromagnetic actuator	医療デバイス	Medical device	体内エネルギーハーベスティング	In vivo energy harvestng	ワイヤレス給電	Wireless power transmission	http://www.hcds.mech.e.titech.ac.jp/		key_t2r2Rid=CTT100514739		ﾋｼﾞｶﾀ	ﾜﾀﾙ			
	建築学系	025	教授	001	藤井	晴行	は	ふじい	はるゆき	2	Haruyuki	Fujii	建築学系	025	エンジニアリングデザインコース	002	建築学系	025	建築学コース	025																					建築計画原論	Theories in architectural planning and man-emvironment system design	デザイン科学	Design science	一人称研究の方法論	Methodologies in studies with first person's view	計算デザイン学	Computiational designology			key_rid=1000279245		ﾌｼﾞｲ	ﾊﾙﾕｷ			
	機械系	015	准教授	002	古谷	寛	は	ふるや	ひろし	2	Hiroshi	Furuya	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	建築学系	025	都市・環境学コース	006																	展開構造物の概念と力学特性	Concept and mechanics of deployable structures	高機能宇宙構造物	Advanced space structures	構造最適設計	Structural analysys and cptimum design	宇宙環境下における形態創出	Morphology in space environment	http://www.sse.mech.e.titech.ac.jp/cgi-bin/fswiki/index.cgi?page=SSMA+Top		key_rid=1000181784		ﾌﾙﾔ	ﾋﾛｼ			
