index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
28	建築学系	025	特任准教授	006	添田	昌志	さ	そえだ	まさし	4	Masashi	Soeda	建築学系	025	都市・環境学コース	006																									環境心理学	Environmental psychology	建築計画	Architectural planning	建築人間工学	Architectural ergonomics			http://hed-lab.jp/	http://hed-lab.jp/	key_rid=1000321741		ｿｴﾀﾞ	ﾏｻｼ						
29	建築学系	025	准教授	002	十代田	朗	さ	そしろだ	あきら	4	Akira	Soshiroda	建築学系	025	都市・環境学コース	006	土木・環境工学系	026	都市・環境学コース	006																					社会工学	Social engineering	観光計画	Tourism planning	地域計画	Regional planning	観光地・リゾート地発達史	Tourism area life cycle 	http://www.sun.mei.titech.ac.jp/sos/	http://www.sun.mei.titech.ac.jp/sos/	key_rid=1000321788		ｿｼﾛﾀﾞ	ｱｷﾗ						
22	土木・環境工学系	026	助教	004	田中	由乃	た	たなか	ゆの	4	Yuno	Tanaka	土木・環境工学系	026	都市・環境学コース	006																									都市計画	Urban planning	まちづくり	Community design	住宅団地	Housing estate					key_t2r2Rid=CTT100763095		ﾀﾅｶ	ﾕﾉ						
31	建築学系	025	助教	004	地元	孝輔	た	ちもと	こうすけ	1	Kosuke	Chimoto	建築学系	025	都市・環境学コース	006																									地震工学	Earthquake engineering	地盤震動	Ground motion							key_t2r2Rid=CTT100557433		ﾁﾓﾄ	ｺｳｽｹ						
32	建築学系	025	助教	004	津々見	崇	た	つつみ	たかし	4	Takashi	Tsutsumi	建築学系	025	都市・環境学コース	006																									都市計画	City planning	まちづくり	Community development	観光計画	Tourism planning			http://www.sun.mei.titech.ac.jp/sos/	http://www.sun.mei.titech.ac.jp/sos/	key_rid=1000321759		ﾂﾂﾐ	ﾀｶｼ						
33	建築学系	025	准教授	002	土肥	真人	た	どひ	まさと	1	Masato	Dohi	建築学系	025	都市・環境学コース	006	土木・環境工学系	026	都市・環境学コース	006																					コミュニティ・デザイン	Community design	ランドスケープ・アーキテクチャー	Landscape architecture	エコロジカル・プランニング	Ecological planning	都市社会学	Urban sociology	http://www.dohi-lab.arch.titech.ac.jp/	http://www.dohi-lab.arch.titech.ac.jp/	key_t2r2Rid=CTT100381147		ﾄﾞﾋ	ﾏｻﾄ						
34	建築学系	025	教授	001	中井	検裕	な	なかい	のりひろ	3	Norihiro	Nakai	建築学系	025	都市・環境学コース	006	土木・環境工学系	026	都市・環境学コース	006																					都市計画	Urban planning	都市デザイン	Urban design	都市開発	Urban development	都市政策	Urban policy	http://www.nakai-lab.arch.titech.ac.jp/public_html/	http://www.nakai-lab.arch.titech.ac.jp/public_html/index-e.html	key_rid=1000065706		ﾅｶｲ	ﾉﾘﾋﾛ						
35	建築学系	025	教授	001	中村	芳樹	な	なかむら	よしき	3	Yoshiki	Nakamura	建築学系	025	都市・環境学コース	006	建築学系	025	建築学コース	025																					視環境設計	Visual environment design	照明・色彩設計	Light & color planning	快適性評価	Amenity evaluation	建築環境工学	Environmental engineering	http://www.nakamura.enveng.titech.ac.jp/	http://www.nakamura.enveng.titech.ac.jp/	key_rid=1000015829		ﾅｶﾑﾗ	ﾖｼｷ						
36	建築学系	025	准教授	002	那須	聖	な	なす	さとし	3	Satoshi	Nasu	建築学系	025	都市・環境学コース	006																									建築意匠	Architectural desgin	建築計画	Architectural planning	居住文化と構築環境	Dwelling culture and built environment	景観デザイン	Town scape design	https://sites.google.com/site/nasusatoshitokyotech/		key_rid=1000222060		ﾅｽ	ｻﾄｼ						
49	建築学系	025	准教授	002	西村	康志郎	な	にしむら	こうしろう	3	Koshiro	Nishimura	建築学系	025	建築学コース	025	建築学系	025	都市・環境学コース	006																					建築構造	Building structures	耐震工学	Seismic engineering	コンクリート構造	Concrete structures	防災	Disaster mitigation	http://www.udprc.first.iir.titech.ac.jp/~nishimura/	http://www.udprc.first.iir.titech.ac.jp/~nishimura/	key_t2r2Rid=CTT100380810		ﾆｼﾑﾗ	ｺｳｼﾛｳ						
