index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	経営工学系	019	特定教授	009	増井	利彦	ま	ますい	としひこ	3	Toshihiko	Masui	経営工学系	019	経営工学コース	019																									統合評価モデル	Integrated assessment model	気候変動	Climate change	環境政策	Environmental policy	将来シナリオ	Future scenario	http://www.iee.e.titech.ac.jp/~masui-kanamori/	http://www.iee.e.titech.ac.jp/~masui-kanamori/	key_rid=0000050833		ﾏｽｲ	ﾄｼﾋｺ	
	経営工学系	019	教授	001	松井	知己	ま	まつい	ともみ	3	Tomomi	Matsui	経営工学系	019	経営工学コース	019	数理・計算科学系	022	数理・計算科学コース	022																					最適化	Optimization	アルゴリズム	Algorithm	組合せ理論	Combinatorics			http://tomomi.my.coocan.jp/index-j.html	http://tomomi.my.coocan.jp/welcomeE.html	key_rid=1000161438		ﾏﾂｲ	ﾄﾓﾐ	
	経営工学系	019	教授	001	水野	眞治	ま	みずの	しんじ	3	Shinji	Mizuno	経営工学系	019	経営工学コース	019	数学系	011	数学コース	011																					数理最適化	Mathematical optimization	数理計画法	Mathematical programming	オペレーションズリサーチ	Operations research	金融工学	Financial enginnering	http://www.iee.e.titech.ac.jp/~mizu_lab/	http://www.iee.e.titech.ac.jp/~mizu_lab/indexe.html	key_rid=1000279091		ﾐｽﾞﾉ	ｼﾝｼﾞ	
	経営工学系	019	教授	001	宮川	雅巳	ま	みやかわ	まさみ	3	Masami 	Miyakawa	経営工学系	019	経営工学コース	019																																	http://www.iee.e.titech.ac.jp/~miyalab/	http://www.iee.e.titech.ac.jp/~miyalab/	key_t2r2Rid=CTT100381116		ﾐﾔｶﾜ	ﾏｻﾐ	
	経営工学系	019	助教	004	棟居	洋介	ま	むねすえ	ようすけ	3	Yosuke	Munesue	経営工学系	019	経営工学コース	019																									持続可能な食料システム	Sustainable food system	環境経済学	Environmental economics							key_rid=1000279232		ﾑﾈｽｴ	ﾖｳｽｹ	
	経営工学系	019	教授	001	大和	毅彦	や	やまと	たけひこ	5	Takehiko	Yamato	経営工学系	019	経営工学コース	019																									ミクロ経済理論	Microeconomic theory	実験経済学	Experimental economics	メカニズム・デザイン	Mechanism design	ゲーム理論	Game theory	http://www.iee.e.titech.ac.jp/~yamato/	http://www.iee.e.titech.ac.jp/~yamato/	key_rid=7000024591		ﾔﾏﾄ	ﾀｹﾋｺ	
	経営工学系	019	教授	001	山室	恭子	や	やまむろ	きょうこ	5	Kyoko	Yamamuro	経営工学系	019	経営工学コース	019																									経済史	Economic history	日本史	Japanese history							key_rid=1000279022		ﾔﾏﾑﾛ	ｷｮｳｺ	
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
